@RELATION data

@ATTRIBUTE 50daymovingaverage REAL
@ATTRIBUTE volume REAL
@ATTRIBUTE market/bookratio REAL
@ATTRIBUTE p/e REAL
@ATTRIBUTE debt/equityratio REAL
@ATTRIBUTE freecashflowyield REAL
@ATTRIBUTE class {FALSE,TRUE}

@DATA
0.997431724,52617600,3.89577673,5.767569234,0.659961686,0.012612577,FALSE
1.036382348,73746400,4.046549424,5.990783245,0.659961686,0.012178877,FALSE
0.96380136,59473400,3.759594775,5.565956331,0.659961686,0.013031739,FALSE
1.013497747,38824800,3.954140463,5.853974819,0.659961686,0.012441079,FALSE
0.982672466,34321000,3.837412998,5.681163649,0.659961686,0.01278887,FALSE
0.940716797,40588800,3.676912799,5.443548387,0.659961686,0.013300103,FALSE
0.953714433,84974400,3.735276531,5.529953972,0.659961686,0.013109539,FALSE
0.939977233,65780400,3.686640044,5.457949254,0.659961686,0.013267958,FALSE
0.949515936,46837000,3.730412779,5.522753346,0.659961686,0.01312521,FALSE
0.92468968,44168600,3.638003558,5.385944536,0.659961686,0.013430254,FALSE
0.938144183,94910200,3.69636729,5.472350121,0.659961686,0.013235969,FALSE
0.937319103,62928600,3.701231042,5.479550746,0.659961686,0.013220032,FALSE
0.93862638,59514000,3.710958288,5.493951613,0.659961686,0.013188273,FALSE
0.926039776,39165000,3.662321801,5.421946895,0.659961686,0.013348613,FALSE
0.918288327,28550200,3.633140065,5.378744295,0.659961686,0.013446701,FALSE
0.953164698,35918400,3.774185513,5.587557439,0.659961686,0.012985501,FALSE
1.009642495,67725000,4.00277669,5.925979153,0.659961686,0.012301687,FALSE
0.98042819,47544000,3.890912978,5.760368609,0.659961686,0.012627083,FALSE
0.989214154,33616800,3.929822219,5.81797246,0.659961686,0.012511967,FALSE
1.010064025,69200600,4.02223144,5.954781271,0.659961686,0.0122468,FALSE
1.058439527,59215800,4.226504374,6.257200626,0.659961686,0.01169874,FALSE
1.088835115,77691600,4.366333949,6.46421371,0.659961686,0.011351021,FALSE
1.097952092,83615000,4.421050062,6.545219114,0.659961686,0.011220518,FALSE
1.116727413,89751200,4.518322516,6.689227781,0.659961686,0.010995776,FALSE
1.133622675,66757600,4.605868504,6.818836735,0.659961686,0.010801068,FALSE
1.135746791,71348200,4.630186488,6.85483871,0.659961686,0.010748201,FALSE
1.1608318,104899200,4.742050459,7.020449638,0.659961686,0.010511528,FALSE
1.204011785,64218000,4.936595888,7.308467742,0.659961686,0.010123836,FALSE
1.180216256,74660600,4.858777405,7.193260039,0.659961686,0.01027543,FALSE
1.102808898,88851000,4.547504512,6.732430766,0.659961686,0.010930098,FALSE
1.165529866,54366200,4.824731916,7.142856813,0.659961686,0.01034319,FALSE
1.104939954,48879600,4.581550001,6.782833992,0.659961686,0.010854459,FALSE
1.093778314,46845400,4.547504512,6.732430766,0.659961686,0.010930098,FALSE
1.078739836,46999400,4.494004532,6.653225806,0.659961686,0.011051113,FALSE
1.081515736,76496000,4.513459023,6.68202754,0.659961686,0.011006799,FALSE
1.058181004,106638000,4.424697421,6.55061891,0.659961686,0.011211925,FALSE
1.02663143,98628600,4.298242971,6.363407258,0.659961686,0.011517725,FALSE
1.124806559,106134000,4.720163703,6.988047015,0.659961686,0.010557011,FALSE
1.110319957,67877600,4.664231977,6.905241935,0.659961686,0.01067505,FALSE
1.129151643,56847000,4.750561832,7.033050445,0.659961686,0.010493947,FALSE
1.049367701,127622600,4.411322556,6.530817862,0.659961686,0.011243499,FALSE
0.967611092,181675200,4.061140422,6.012384738,0.659961686,0.012138484,FALSE
0.993488925,108887800,4.163276889,6.163594415,0.659961686,0.011863062,FALSE
